path	status	reason
bundler/vendored_timeout.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/vendored_tsort.rb	pass	
bundler/vendored_uri.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/version.rb	fail	panic: unknown class/module `Gem`
bundler/vlad.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
bundler/worker.rb	fail	panic: unknown class `Thread::Queue`
bundler/yaml_serializer.rb	pass	
cgi.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
cgi/escape.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
cgi/util.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
coverage.rb	fail	`require "coverage.so"`: native (.so/.bundle) features aren't supported (spike scope)
date.rb	fail	cannot load such file
delegate.rb	fail	unsupported syntax at "alias __raise__ raise" (spike handles only what the 7 example programs need)
did_you_mean.rb	fail	`class << obj` (a per-instance singleton class, `obj` other than a bare `self`) isn't supported yet …
did_you_mean/core_ext/name_error.rb	pass	
did_you_mean/experimental.rb	pass	
did_you_mean/formatter.rb	pass	
did_you_mean/formatters/plain_formatter.rb	pass	
did_you_mean/formatters/verbose_formatter.rb	pass	
did_you_mean/jaro_winkler.rb	pass	
did_you_mean/levenshtein.rb	pass	
did_you_mean/spell_checker.rb	pass	
did_you_mean/spell_checkers/key_error_checker.rb	pass	
did_you_mean/spell_checkers/method_name_checker.rb	pass	
did_you_mean/spell_checkers/name_error_checkers.rb	fail	`class << obj` (a per-instance singleton class, `obj` other than a bare `self`) isn't supported yet …
did_you_mean/spell_checkers/name_error_checkers/class_name_checker.rb	fail	subclassing the built-in type `String` isn't supported yet (spike scope, no generated Rust struct ex…
did_you_mean/spell_checkers/name_error_checkers/variable_name_checker.rb	pass	
did_you_mean/spell_checkers/null_checker.rb	pass	
did_you_mean/spell_checkers/pattern_key_name_checker.rb	pass	
did_you_mean/spell_checkers/require_path_checker.rb	fail	cannot load such file
did_you_mean/tree_spell_checker.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `index` isn't supported yet (spike…
did_you_mean/verbose.rb	pass	
did_you_mean/version.rb	pass	
digest.rb	fail	`require "digest.so"`: native (.so/.bundle) features aren't supported (spike scope)
digest/loader.rb	fail	`require "digest.so"`: native (.so/.bundle) features aren't supported (spike scope)
digest/sha2.rb	fail	`require "digest.so"`: native (.so/.bundle) features aren't supported (spike scope)
digest/sha2/loader.rb	fail	`require "digest/sha2.so"`: native (.so/.bundle) features aren't supported (spike scope)
digest/version.rb	pass	
erb.rb	fail	unsupported statement in `class << self` (spike scope)
erb/compiler.rb	fail	unsupported statement in `class << self` (spike scope)
erb/def_method.rb	fail	unknown class/module `ERB` in `ERB::DefMethod` (must be defined earlier in the file)
erb/util.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
erb/version.rb	pass	
error_highlight.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
error_highlight/base.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
error_highlight/core_ext.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
error_highlight/formatter.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
error_highlight/version.rb	pass	
expect.rb	fail	instance variable `@unusedBuf` in a method of the reopened built-in class `IO` isn't supported (spik…
fileutils.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
find.rb	fail	panic: a nested escaping block capturing its enclosing BLOCK's own local `file` isn't supported yet (spike …
forwardable.rb	fail	expected `*name` as a multi-assignment's splat target
forwardable/impl.rb	fail	panic: unknown class/module `RubyVM`
io/console/size.rb	fail	`def` with an explicit non-`self` receiver isn't supported yet (spike scope)
ipaddr.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
json.rb	fail	`autoload` isn't supported (spike scope)
json/add/bigdecimal.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/complex.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/core.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/date.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/date_time.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/exception.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/ostruct.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/range.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/rational.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/regexp.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/set.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/string.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/struct.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/symbol.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/add/time.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/common.rb	fail	`autoload` isn't supported (spike scope)
json/ext.rb	fail	`autoload` isn't supported (spike scope)
json/ext/generator/state.rb	pass	
json/generic_object.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
json/version.rb	pass	
mkmf.rb	fail	cannot load such file
monitor.rb	fail	`require "monitor.so"`: native (.so/.bundle) features aren't supported (spike scope)
net/http.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
net/http/exceptions.rb	fail	unknown superclass `ProtocolError` (must be defined earlier in the file)
net/http/generic_request.rb	fail	`require` is only supported as a top-level statement with a single string-literal argument (spike sc…
net/http/header.rb	fail	unknown class/module `Net` in `Net::HTTPHeader` (must be defined earlier in the file)
net/http/proxy_delta.rb	fail	unknown class/module `Net::HTTP` in `Net::HTTP::ProxyDelta` (must be defined earlier in the file)
net/http/request.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
net/http/requests.rb	fail	unknown class/module `Net::HTTP` in `Net::HTTP::Get` (must be defined earlier in the file)
net/http/response.rb	fail	expected a constant name or path (e.g. `Foo` or `Foo::Bar`)
net/http/responses.rb	fail	unknown superclass `HTTPResponse` (must be defined earlier in the file)
net/http/status.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
net/https.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
net/protocol.rb	fail	`require "socket.so"`: native (.so/.bundle) features aren't supported (spike scope)
objspace.rb	fail	`require "objspace.so"`: native (.so/.bundle) features aren't supported (spike scope)
objspace/trace.rb	fail	`require "objspace.so"`: native (.so/.bundle) features aren't supported (spike scope)
open-uri.rb	fail	`autoload` isn't supported (spike scope)
open3.rb	fail	expected `*name` as a multi-assignment's splat target
