#! Accepted divergences from conformance/builtin-arity.tsv.
#! Every row needs a reason, and only two kinds may appear:
#! `zeo-only` (zeo defines a method CRuby has nowhere in the chain) and
#! `oracle-missing` (the dump could not reach the class at all). An arity
#! that simply disagrees with the oracle is a BUG in the parameter list --
#! it fails the test and cannot be recorded here. Regenerate with
#! `ZEO_BLESS=1 cargo nextest run -p zeo --test builtin_arity`.
#! tag	class	kind	name	reason
oracle-missing	FFI::Pointer	i	put_uchar	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_uint	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_uint16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_uint32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_uint64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_uint8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_ulong	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_ulong_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	put_ushort	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_int32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_uint	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_uint32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_array_of_uint8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_bytes	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_char	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_int32	FFI::Pointer is absent from the pinned oracle
