Complex	I	!,!=,!~,*,**,+,+@,-,-@,/,<=>,==,===,__id__,__send__,abs,abs2,angle,arg,class,clone,coerce,conj,conjugate,define_singleton_method,denominator,display,dup,enum_for,eql?,equal?,extend,fdiv,finite?,freeze,frozen?,hash,imag,imaginary,infinite?,inspect,instance_eval,instance_exec,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,integer?,is_a?,itself,kind_of?,magnitude,method,methods,nil?,nonzero?,numerator,object_id,phase,polar,private_methods,protected_methods,public_method,public_methods,public_send,quo,rationalize,real,real?,rect,rectangular,remove_instance_variable,respond_to?,send,singleton_class,singleton_method,singleton_method_added,singleton_methods,tap,then,to_c,to_enum,to_f,to_i,to_int,to_r,to_s,yield_self,zero?
Complex	S	!,!=,!~,<,<=,<=>,==,===,>,>=,__id__,__send__,alias_method,ancestors,attached_object,attr,attr_accessor,attr_reader,attr_writer,autoload,autoload?,class,class_eval,class_exec,class_variable_defined?,class_variable_get,class_variable_set,class_variables,clone,const_defined?,const_get,const_missing,const_set,const_source_location,constants,define_method,define_singleton_method,deprecate_constant,display,dup,enum_for,eql?,equal?,extend,freeze,frozen?,hash,include,include?,included_modules,inspect,instance_eval,instance_exec,instance_method,instance_methods,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,is_a?,itself,kind_of?,method,method_defined?,methods,module_eval,module_exec,name,nil?,object_id,polar,prepend,private_class_method,private_constant,private_instance_methods,private_method_defined?,private_methods,protected_instance_methods,protected_method_defined?,protected_methods,public_class_method,public_constant,public_instance_method,public_instance_methods,public_method,public_method_defined?,public_methods,public_send,rect,rectangular,refinements,remove_class_variable,remove_instance_variable,remove_method,respond_to?,send,set_temporary_name,singleton_class,singleton_class?,singleton_method,singleton_methods,subclasses,superclass,tap,then,to_enum,to_s,undef_method,undefined_instance_methods,yield_self
Complex	P	Array,Complex,Float,Hash,Integer,Pathname,Rational,String,__callee__,__dir__,__method__,`,abort,at_exit,autoload,autoload?,binding,block_given?,caller,caller_locations,catch,eval,exec,exit,exit!,fail,fork,format,gets,global_variables,initialize,initialize_clone,initialize_copy,initialize_dup,instance_variables_to_inspect,iterator?,lambda,load,local_variables,loop,marshal_dump,method_missing,open,p,pp,print,printf,proc,putc,puts,raise,rand,readline,readlines,require,require_relative,respond_to_missing?,select,set_trace_func,singleton_method_removed,singleton_method_undefined,sleep,spawn,sprintf,srand,syscall,system,test,throw,trace_var,trap,untrace_var,warn
Data	i	==,deconstruct,deconstruct_keys,eql?,hash,inspect,members,to_h,to_s,with
Data	s	define
Data	p	initialize,initialize_copy
Data	c	
Data	I	!,!=,!~,<=>,==,===,__id__,__send__,class,clone,deconstruct,deconstruct_keys,define_singleton_method,display,dup,enum_for,eql?,equal?,extend,freeze,frozen?,hash,inspect,instance_eval,instance_exec,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,is_a?,itself,kind_of?,members,method,methods,nil?,object_id,private_methods,protected_methods,public_method,public_methods,public_send,remove_instance_variable,respond_to?,send,singleton_class,singleton_method,singleton_methods,tap,then,to_enum,to_h,to_s,with,yield_self
Data	S	!,!=,!~,<,<=,<=>,==,===,>,>=,__id__,__send__,alias_method,allocate,ancestors,attached_object,attr,attr_accessor,attr_reader,attr_writer,autoload,autoload?,class,class_eval,class_exec,class_variable_defined?,class_variable_get,class_variable_set,class_variables,clone,const_defined?,const_get,const_missing,const_set,const_source_location,constants,define,define_method,define_singleton_method,deprecate_constant,display,dup,enum_for,eql?,equal?,extend,freeze,frozen?,hash,include,include?,included_modules,inspect,instance_eval,instance_exec,instance_method,instance_methods,instance_of?,instance_variable_defined?,instance_variable_get,instance_variable_set,instance_variables,is_a?,itself,kind_of?,method,method_defined?,methods,module_eval,module_exec,name,nil?,object_id,prepend,private_class_method,private_constant,private_instance_methods,private_method_defined?,private_methods,protected_instance_methods,protected_method_defined?,protected_methods,public_class_method,public_constant,public_instance_method,public_instance_methods,public_method,public_method_defined?,public_methods,public_send,refinements,remove_class_variable,remove_instance_variable,remove_method,respond_to?,send,set_temporary_name,singleton_class,singleton_class?,singleton_method,singleton_methods,subclasses,superclass,tap,then,to_enum,to_s,undef_method,undefined_instance_methods,yield_self
Data	P	Array,Complex,Float,Hash,Integer,Pathname,Rational,String,__callee__,__dir__,__method__,`,abort,at_exit,autoload,autoload?,binding,block_given?,caller,caller_locations,catch,eval,exec,exit,exit!,fail,fork,format,gets,global_variables,initialize,initialize_clone,initialize_copy,initialize_dup,instance_variables_to_inspect,iterator?,lambda,load,local_variables,loop,method_missing,open,p,pp,print,printf,proc,putc,puts,raise,rand,readline,readlines,require,require_relative,respond_to_missing?,select,set_trace_func,singleton_method_added,singleton_method_removed,singleton_method_undefined,sleep,spawn,sprintf,srand,syscall,system,test,throw,trace_var,trap,untrace_var,warn
Dir	i	chdir,children,close,each,each_child,fileno,inspect,path,pos,pos=,read,rewind,seek,tell,to_path
Dir	s	[],chdir,children,chroot,delete,each_child,empty?,entries,exist?,fchdir,for_fd,foreach,getwd,glob,home,mkdir,open,pwd,rmdir,unlink
Dir	p	initialize
Dir	c	
